INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 140
INFO [typing_duell::user_interface] iterating over text to type, current char: d, current index: 141
INFO [typing_duell::user_interface] iterating over text to type, current char: i, current index: 142
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 143
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 144
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 145
INFO [typing_duell::user_interface] iterating over text to type, current char: v, current index: 146
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 147
INFO [typing_duell::user_interface] iterating over text to type, current char: l, current index: 148
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 149
INFO [typing_duell::user_interface] iterating over text to type, current char: p, current index: 150
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 151
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 152
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 153
INFO [typing_duell::user_interface] iterating over text to type, current char: ., current index: 154
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 155
INFO [typing_duell::user_interface] iterating over text to type, current char: A, current index: 156
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 157
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 158
INFO [typing_duell::user_interface] iterating over text to type, current char: v, current index: 159
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 160
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 161
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 162
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 163
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 164
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 165
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 166
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 167
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 168
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 169
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 170
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 171
INFO [typing_duell::user_interface] iterating over text to type, current char: c, current index: 172
INFO [typing_duell::user_interface] iterating over text to type, current char: c, current index: 173
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 174
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 175
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 176
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 177
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 178
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 179
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 180
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 181
INFO [typing_duell::user_interface] iterating over text to type, current char: j, current index: 182
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 183
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 184
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 185
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 186
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 187
INFO [typing_duell::user_interface] iterating over text to type, current char: d, current index: 188
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 189
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 190
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 191
INFO [typing_duell::user_interface] iterating over text to type, current char: d, current index: 192
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 193
INFO [typing_duell::user_interface] iterating over text to type, current char: l, current index: 194
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 195
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 196
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 197
